GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0007165	signal transduction	2026	48	8.25	1.6e-25	7.436e-22	P	AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0044700	single organism signaling	2066	48	8.42	3.7e-25	7.436e-22	P	AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0023052	signaling	2068	48	8.42	3.9e-25	7.436e-22	P	AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0007154	cell communication	2317	50	9.44	6.6e-25	9.438e-22	P	AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0051716	cellular response to stimulus	2956	51	12.04	4.5e-21	5.148e-18	P	AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G22110, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G22110, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0050896	response to stimulus	6373	67	25.96	3.2e-17	3.051e-14	P	AT1G02130, AT1G05240, AT1G05250, AT1G05260, AT1G07400, AT1G45616, AT1G47890, AT1G53540, AT1G59860, AT1G60710, AT1G67940, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G29500, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT2G44910, AT3G01190, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G21770, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G46230, AT3G59830, AT4G11290, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G15180, AT5G22110, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G59720	AT1G02130, AT1G05240, AT1G05250, AT1G05260, AT1G07400, AT1G45616, AT1G47890, AT1G53540, AT1G59860, AT1G60710, AT1G67940, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G16430, AT2G25440, AT2G26070, AT2G27190, AT2G29500, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT2G44910, AT3G01190, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G21770, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G46230, AT3G59830, AT4G11290, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17530, AT4G39270, AT5G15180, AT5G22110, AT5G25910, AT5G27060, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G59720
GO:0050794	regulation of cellular process	5237	58	21.34	3.6e-15	2.942e-12	P	AT1G01210, AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT3G60390, AT3G63030, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT4G39270, AT5G06710, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370	AT1G01210, AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT3G60390, AT3G63030, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT4G39270, AT5G06710, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370
GO:0050789	regulation of biological process	5923	60	24.13	5.3e-14	3.790e-11	P	AT1G01210, AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT3G60390, AT3G63030, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT4G39270, AT5G06710, AT5G09760, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G64640	AT1G01210, AT1G02130, AT1G45616, AT1G47890, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT3G60390, AT3G63030, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT4G39270, AT5G06710, AT5G09760, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G64640
GO:0065007	biological regulation	6714	61	27.35	4.3e-12	2.733e-09	P	AT1G01210, AT1G02130, AT1G45616, AT1G47890, AT1G68730, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT3G60390, AT3G63030, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT4G39270, AT5G06710, AT5G09760, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G64640	AT1G01210, AT1G02130, AT1G45616, AT1G47890, AT1G68730, AT1G71390, AT1G71400, AT2G15080, AT2G16250, AT2G25440, AT2G26070, AT2G31800, AT2G32660, AT2G32680, AT2G33020, AT2G33030, AT2G33050, AT2G33060, AT2G33080, AT2G43850, AT2G44910, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G11730, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G24982, AT3G25010, AT3G25020, AT3G28890, AT3G59830, AT3G60390, AT3G63030, AT4G07950, AT4G13810, AT4G13820, AT4G13880, AT4G13920, AT4G16780, AT4G17460, AT4G17530, AT4G22745, AT4G39270, AT5G06710, AT5G09760, AT5G25910, AT5G27060, AT5G35330, AT5G35338, AT5G38210, AT5G38280, AT5G40170, AT5G47200, AT5G47370, AT5G64640
GO:0006950	response to stress	3567	43	14.53	7.8e-12	4.462e-09	P	AT1G05240, AT1G05250, AT1G05260, AT1G07400, AT1G45616, AT1G47890, AT1G53540, AT1G59860, AT1G71390, AT1G71400, AT2G15080, AT2G16430, AT2G27190, AT2G29500, AT2G32660, AT2G32680, AT2G33050, AT2G33060, AT2G43850, AT3G01190, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G21770, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G25010, AT3G25020, AT3G46230, AT4G11290, AT4G13810, AT4G13920, AT5G15180, AT5G22110, AT5G25910, AT5G27060, AT5G40170, AT5G59720	AT1G05240, AT1G05250, AT1G05260, AT1G07400, AT1G45616, AT1G47890, AT1G53540, AT1G59860, AT1G71390, AT1G71400, AT2G15080, AT2G16430, AT2G27190, AT2G29500, AT2G32660, AT2G32680, AT2G33050, AT2G33060, AT2G43850, AT3G01190, AT3G05360, AT3G05370, AT3G05650, AT3G05660, AT3G11010, AT3G11080, AT3G21770, AT3G23010, AT3G23110, AT3G23120, AT3G24900, AT3G25010, AT3G25020, AT3G46230, AT4G11290, AT4G13810, AT4G13920, AT5G15180, AT5G22110, AT5G25910, AT5G27060, AT5G40170, AT5G59720
