GO.ID	Term	Annotated	Count	Expected	p-value	q-value	Aspect	Genes	Origin input
GO:0009768	photosynthesis, light harvesting in photosystem I	23	5	0.04	2.8e-10	1.602e-06	P	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430
GO:0090377	seed trichome initiation	10	4	0.02	1.2e-09	3.432e-06	P	AT1G07920, AT1G07930, AT1G07940, AT5G60390	AT1G07920, AT1G07930, AT1G07940, AT5G60390
GO:0009765	photosynthesis, light harvesting	44	5	0.07	8.9e-09	1.430e-05	P	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430
GO:0018298	protein-chromophore linkage	45	5	0.07	1e-08	1.430e-05	P	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430
GO:0009800	cinnamic acid biosynthetic process	5	3	0.01	3.9e-08	4.462e-05	P	AT2G37040, AT3G10340, AT3G53260	AT2G37040, AT3G10340, AT3G53260
GO:0009803	cinnamic acid metabolic process	6	3	0.01	7.8e-08	6.149e-05	P	AT2G37040, AT3G10340, AT3G53260	AT2G37040, AT3G10340, AT3G53260
GO:0090378	seed trichome elongation	26	4	0.04	8.5e-08	6.149e-05	P	AT1G07920, AT1G07930, AT1G07940, AT5G60390	AT1G07920, AT1G07930, AT1G07940, AT5G60390
GO:0019684	photosynthesis, light reaction	137	6	0.22	8.6e-08	6.149e-05	P	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT4G33520	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT4G33520
GO:0006559	L-phenylalanine catabolic process	7	3	0.01	1.4e-07	7.150e-05	P	AT2G37040, AT3G10340, AT3G53260	AT2G37040, AT3G10340, AT3G53260
GO:1902222	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	7	3	0.01	1.4e-07	7.150e-05	P	AT2G37040, AT3G10340, AT3G53260	AT2G37040, AT3G10340, AT3G53260
GO:0018193	peptidyl-amino acid modification	381	8	0.62	1.5e-07	7.150e-05	P	AT2G42670, AT3G06910, AT3G21820, AT3G58670, AT4G00690, AT4G15880, AT5G09740, AT5G64610	AT2G42670, AT3G06910, AT3G21820, AT3G58670, AT4G00690, AT4G15880, AT5G09740, AT5G64610
GO:0006091	generation of precursor metabolites and energy	382	8	0.62	1.5e-07	7.150e-05	P	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G42670, AT3G58670, AT4G33520	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G42670, AT3G58670, AT4G33520
GO:0018205	peptidyl-lysine modification	158	6	0.26	2e-07	8.800e-05	P	AT3G06910, AT3G21820, AT4G00690, AT4G15880, AT5G09740, AT5G64610	AT3G06910, AT3G21820, AT4G00690, AT4G15880, AT5G09740, AT5G64610
GO:0016926	protein desumoylation	8	3	0.01	2.2e-07	8.989e-05	P	AT3G06910, AT4G00690, AT4G15880	AT3G06910, AT4G00690, AT4G15880
GO:0090376	seed trichome differentiation	37	4	0.06	3.7e-07	1.411e-04	P	AT1G07920, AT1G07930, AT1G07940, AT5G60390	AT1G07920, AT1G07930, AT1G07940, AT5G60390
GO:0009074	aromatic amino acid family catabolic process	13	3	0.02	1.1e-06	3.933e-04	P	AT2G37040, AT3G10340, AT3G53260	AT2G37040, AT3G10340, AT3G53260
GO:0009416	response to light stimulus	725	9	1.17	1.9e-06	6.393e-04	P	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G37040, AT2G39730, AT5G09740, AT5G64610	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G37040, AT2G39730, AT5G09740, AT5G64610
GO:0006558	L-phenylalanine metabolic process	16	3	0.03	2.2e-06	6.623e-04	P	AT2G37040, AT3G10340, AT3G53260	AT2G37040, AT3G10340, AT3G53260
GO:1902221	erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	16	3	0.03	2.2e-06	6.623e-04	P	AT2G37040, AT3G10340, AT3G53260	AT2G37040, AT3G10340, AT3G53260
GO:0009314	response to radiation	755	9	1.22	2.6e-06	7.436e-04	P	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G37040, AT2G39730, AT5G09740, AT5G64610	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G37040, AT2G39730, AT5G09740, AT5G64610
GO:0015979	photosynthesis	252	6	0.41	3e-06	8.171e-04	P	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT4G33520	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT4G33520
GO:0022412	cellular process involved in reproduction in multicellular organism	76	4	0.12	6.9e-06	1.794e-03	P	AT1G07920, AT1G07930, AT1G07940, AT5G60390	AT1G07920, AT1G07930, AT1G07940, AT5G60390
GO:0045165	cell fate commitment	86	4	0.14	1.1e-05	2.736e-03	P	AT1G07920, AT1G07930, AT1G07940, AT5G60390	AT1G07920, AT1G07930, AT1G07940, AT5G60390
GO:0018158	protein oxidation	5	2	0.01	2.5e-05	5.720e-03	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0018171	peptidyl-cysteine oxidation	5	2	0.01	2.5e-05	5.720e-03	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0010026	trichome differentiation	116	4	0.19	3.7e-05	7.763e-03	P	AT1G07920, AT1G07930, AT1G07940, AT5G60390	AT1G07920, AT1G07930, AT1G07940, AT5G60390
GO:0003032	detection of oxygen	6	2	0.01	3.8e-05	7.763e-03	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0070483	detection of hypoxia	6	2	0.01	3.8e-05	7.763e-03	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0042537	benzene-containing compound metabolic process	43	3	0.07	4.6e-05	9.073e-03	P	AT2G37040, AT3G10340, AT3G53260	AT2G37040, AT3G10340, AT3G53260
GO:0009628	response to abiotic stimulus	1987	12	3.21	4.8e-05	9.152e-03	P	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G37040, AT2G39730, AT2G42670, AT3G53260, AT3G58670, AT5G09740, AT5G64610	AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G37040, AT2G39730, AT2G42670, AT3G53260, AT3G58670, AT5G09740, AT5G64610
GO:0009769	photosynthesis, light harvesting in photosystem II	7	2	0.01	5.3e-05	9.779e-03	P	AT2G34420, AT2G34430	AT2G34420, AT2G34430
GO:0018198	peptidyl-cysteine modification	8	2	0.01	7.1e-05	1.228e-02	P	AT2G42670, AT3G58670	AT2G42670, AT3G58670
GO:0006464	cellular protein modification process	2788	14	4.5	7.3e-05	1.228e-02	P	AT1G23390, AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G42670, AT3G06910, AT3G21820, AT3G58670, AT4G00690, AT4G15880, AT5G09740, AT5G64610	AT1G23390, AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G42670, AT3G06910, AT3G21820, AT3G58670, AT4G00690, AT4G15880, AT5G09740, AT5G64610
GO:0036211	protein modification process	2788	14	4.5	7.3e-05	1.228e-02	P	AT1G23390, AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G42670, AT3G06910, AT3G21820, AT3G58670, AT4G00690, AT4G15880, AT5G09740, AT5G64610	AT1G23390, AT1G29910, AT1G29920, AT1G29930, AT2G34420, AT2G34430, AT2G42670, AT3G06910, AT3G21820, AT3G58670, AT4G00690, AT4G15880, AT5G09740, AT5G64610
GO:0009826	unidimensional cell growth	311	5	0.5	0.00014	2.288e-02	P	AT1G07920, AT1G07930, AT1G07940, AT5G20350, AT5G60390	AT1G07920, AT1G07930, AT1G07940, AT5G20350, AT5G60390
GO:1901606	alpha-amino acid catabolic process	63	3	0.1	0.00015	2.383e-02	P	AT2G37040, AT3G10340, AT3G53260	AT2G37040, AT3G10340, AT3G53260
