TF1	TF2	TF1_TF2_count	TF1_count	TF2_count	cosine	zscore
C10_C2H2_3	C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	108	27	17	5.041008302500836	37.22947221381625
C10_C2H2_3	C3_C2H2_21	94	27	19	4.150201385470471	30.410117220388976
C10_C2H2_3	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	86	27	16	4.1376769291923186	24.721101733585684
C10_C2H2_3	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	87	27	17	4.060812243681228	19.51612613887917
C10_C2H2_3	C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	59	27	8	4.0144415228946535	34.02311325496168
C10_C2H2_3	C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	69	27	14	3.548977049128114	21.86177636209272
C10_C2H2_3	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	86	27	22	3.528622741407539	34.11902643103653
C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	55	17	16	3.3348648442495783	25.81273215308767
C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	54	17	17	3.176470588235294	31.183607080123846
C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	C3_C2H2_21	57	17	19	3.1715648392255464	20.473908136894906
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	35	8	17	3.001225239993904	25.906309492252667
C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	49	16	17	2.9710614066950787	21.60004591363348
C10_C2H2_3	C10_C2H2_3	79	27	27	2.925925925925926	26.68743812296725
C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	44	14	17	2.8520963836295232	22.23178261206128
C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	55	17	22	2.8439822949726055	21.006331233293576
C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	C3_C2H2_21	49	16	19	2.810342739914381	19.425653681212594
C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	C3_C2H2_21	49	17	19	2.7264329319658205	18.930308147171942
C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	50	16	22	2.6650089544451303	24.091037430618872
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C3_C2H2_21	32	8	19	2.5955427380922007	24.393923098365462
C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	C1_NAC_7-C10_NAC_28-C2_NAC_29-C3_NAC_14-C4_NAC_27-C5_NAC_31-C6_NAC_43	50	17	22	2.5854384499750958	21.049559469260405
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C1_C2H2_15-C3_C2H2_32-C5_C2H2_61	30	8	17	2.5724787771376327	20.04290715683106
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	28	8	16	2.4748737341529163	23.860219561424405
C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	C1_C2H2_14-C3_C2H2_30-C5_C2H2_59	37	14	16	2.4721664876899254	19.20044715741064
C10_AP2EREBP_63-C6_AP2EREBP_74	C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	18	7	8	2.40535117721182	18.54846232293811
C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	C3_C2H2_21	39	14	19	2.3912434239913667	18.013804107482056
C10_E2FDP_4-C11_E2FDP_1-C2_E2FDP_4-C3_E2FDP_3-C4_E2FDP_4-C5_E2FDP_4-C6_E2FDP_4-C9_E2FDP_3	C1_AP2EREBP_15-C10_AP2EREBP_51-C13_AP2EREBP_23-C2_AP2EREBP_45-C3_AP2EREBP_42-C4_AP2EREBP_41-C5_AP2EREBP_48-C6_AP2EREBP_53-C9_AP2EREBP_29	22	8	14	2.07880460155075	16.813456149534147
C10_AP2EREBP_63-C6_AP2EREBP_74	C10_C2H2_3	28	7	27	2.0367003088692623	19.826469400498144
C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	C1_C2H2_13-C10_C2H2_38-C5_C2H2_57	31	17	17	1.823529411764706	19.904668875389063
C10_C2H2_3	C10_bZIP_58-C11_bZIP_6-C2_bZIP_59-C3_bZIP_52-C4_bZIP_47-C5_bZIP_63-C6_bZIP_68	9	27	1	1.7320508075688776	28.793801200117144
