gene	s97	s98	s99	s100	s101	s102	s103	s104	s105	s106	s107	s108	s109	s110	s111	s112	s113	s114	s115	s116	s117	s118	s119	s120
Mp1g00070	8.152949962	8.41972249	8.087784363	7.949268103	8.11229393	8.072972475	8.002805792	8.152282397	7.981506533	7.865810927	7.870410779	7.813346102	8.38829284	8.007230613	7.966214616	7.921883178	8.393261905	8.196149749	7.731804234	8.275615464	8.210082116	8.305915873	8.315102337	8.06640731
Mp1g00170	9.185488046	9.196660821	8.331319972	9.431654102	9.333883412	9.086256348	12.46095408	12.59171892	12.53105781	9.178986396	9.323001872	9.201920234	9.332001304	9.30990285	12.3259226	9.533947279	9.33622691	9.275672352	12.3188521	9.55832311	9.29028809	9.414381286	12.13838203	12.25734941
Mp1g00180	8.504039896	8.32312398	8.107770477	7.764586716	7.616153112	7.460306822	7.992739091	8.320622408	8.445735937	7.990502922	8.184601888	8.177208414	7.6021747	7.527489322	9.211344266	7.674316738	7.638526158	7.626034775	9.191585922	7.679158087	7.603855195	7.676208316	9.125322822	9.156614043
Mp1g00190	9.428620995	9.53497017	9.529571979	9.72523404	9.619485578	9.574332446	10.44213941	10.47161792	10.53564425	9.693222792	9.72172347	9.829547427	9.628669401	9.459128747	10.26405024	9.774649849	9.634977967	9.66756603	10.42381459	9.798832839	9.93498173	10.02918574	10.74573453	10.64427374
Mp1g00210	9.956781453	10.00434344	9.493514763	9.598726828	9.814206507	9.557907148	9.373947827	9.538682811	9.242233588	10.16043031	10.18604651	10.14986293	10.14152995	10.16932942	8.783024979	10.00992955	10.29476896	10.18205726	8.900913614	9.954624436	10.43317782	10.22973233	9.195519205	9.156614043
Mp1g00270	10.27343896	10.33224055	11.06524928	10.51930094	10.62297933	10.54432087	10.40437628	10.44378111	10.42342027	11.54843069	11.54956816	11.42428098	10.35900208	9.907910459	10.71601084	11.40668986	10.39128989	10.05743892	10.68466166	11.43556557	10.51020711	10.6837008	10.85860128	10.84936585
Mp1g00310	7.640975459	7.880751135	8.289983353	7.994968436	8.037855076	7.787997151	7.766480467	7.962860641	7.655069095	8.186310014	8.094086839	8.110391388	7.992919678	7.710590439	7.87811781	7.980094337	7.926726926	7.606300256	7.659039033	8.091176169	7.927003472	7.999645092	8.275434742	8.129225688
Mp1g00340	11.14646306	11.03860725	10.91389197	10.79993996	10.68223315	10.80649082	11.00588422	10.85710189	11.00347139	11.15786135	11.13051089	11.21801953	11.24684113	11.49097884	10.72569942	11.24423399	11.21283194	11.33616238	10.72072692	11.12862517	10.99977806	10.83056853	10.09765676	10.18608434
Mp1g00410	8.381096885	8.31681532	8.402245586	8.144734357	8.08805086	8.447089618	10.17849473	10.17037039	10.24812798	8.460483254	8.479496682	8.456423789	8.57081007	8.330704896	10.01691591	8.317315624	8.365864477	8.199765583	10.16908225	8.46169803	8.470941316	8.61287848	10.01559457	9.988527543
Mp1g00440	11.15761842	11.09835432	10.96064469	11.212975	11.20468747	11.36229065	11.13787904	11.13478009	11.12087962	10.92032104	10.97585826	10.95869507	11.42857938	11.66217674	10.76984285	10.5852416	11.38507147	11.57442138	10.80615659	10.71462771	11.38745655	11.37339018	11.22122911	11.34004253
Mp1g00530	10.0945648	10.28355339	10.21253879	10.0624576	9.919261853	10.00838547	9.512756937	9.509003291	9.276245671	9.175289268	9.199668455	9.169292357	9.88341232	9.770354281	9.708756015	9.817706964	9.832469455	9.802513174	9.761442561	9.690158057	9.622614384	9.731612672	9.364404023	9.346135861
Mp1g00550	11.51523181	11.4131631	11.20713814	11.79210412	11.67860681	11.68438175	11.49475697	11.49443478	11.46729992	11.83842586	11.78431214	11.7048835	11.64757381	11.89949042	11.18351958	10.92746922	11.65178276	11.8668018	11.22201503	10.96787558	11.88848125	11.9377516	11.6684013	11.900062
Mp1g00620	11.21377691	11.12610868	10.9368593	11.29794093	11.34518487	11.31023233	10.07179724	10.23853785	9.958475833	10.58760383	10.71211818	10.68369282	11.17893014	11.58530378	9.973136476	10.61595048	11.24251331	11.58687118	9.930447427	10.82519261	11.66559316	11.67131883	10.79609351	10.73788396
Mp1g00990	11.64150912	11.60214095	11.30691148	11.33529723	11.35248061	11.3997566	11.22229029	11.11468504	11.14907013	11.02070063	11.01700075	10.97609548	10.49591214	10.43706784	12.07439881	12.09829637	10.61564526	10.42455345	12.07582664	12.03031244	10.57405032	10.52217611	11.36642573	11.54427563
Mp1g01040	10.81129098	10.87302658	10.69584033	11.50812442	11.41443885	11.5622996	11.62644254	11.63343279	11.50003695	10.92353314	10.74947345	10.88039242	11.12401088	10.84704198	11.39088412	10.10497351	11.01011166	10.74585073	11.36788009	9.936849709	11.822104	11.86796964	11.96393474	12.08975059
Mp1g01110	7.692886051	7.791249366	7.90052217	7.786978132	7.966959714	7.899386535	7.874854435	8.017981762	8.017027432	7.76047567	7.813989804	7.76595871	8.258214274	8.216473023	7.530222941	7.482183243	8.275884299	8.401216579	7.410851752	7.650218084	7.779718846	7.549139616	7.802586538	7.546531339
Mp1g01270	9.004462179	8.953962448	8.825488575	8.712068901	8.681531199	8.80589805	8.57740941	8.736982929	8.803063587	8.891874472	8.745883055	8.755212619	8.624160129	8.438194799	9.092902291	9.253416091	8.640547941	8.530567431	8.966237059	9.101059274	8.69267225	8.762543841	8.834278434	8.694439944
Mp1g01370	7.526012576	7.86157537	7.825090283	7.861357928	7.752474046	8.008891184	7.549816062	7.753170346	7.688580997	7.641170203	7.392036967	7.406243707	7.811943675	7.826103166	7.781214039	7.543299559	7.631400675	7.700590669	7.536289799	7.770896032	7.827908982	7.64803986	7.563486262	7.453170457
Mp1g01440	7.832439194	7.927108022	8.067419842	7.706040503	7.786250811	8.453474019	8.051730786	7.863720381	8.445735937	8.623097575	8.483990333	8.342815834	7.997924295	8.022193975	8.15127981	8.105927406	7.972250516	7.907212826	8.112765666	8.116891491	8.290260949	8.385088091	8.330597986	8.322765731
