peak	s1	s2	s3	s4	s5	s6
0.238626.240665	16.9365850300115	16.4081072209565	15.4304172270714	16.6003886006846	17.7893598349524	16.5837553941456
0.241166.241889	16.1424173443271	15.5880900190897	14.4712600302612	15.7358314664847	16.9999964762891	15.7800537498186
0.242722.242987	15.0577601307163	14.4719949844652	13.0588323296009	14.733673462931	15.9330691625349	14.6701400770278
0.244271.246781	17.1777011044838	16.6495256265007	15.6479264527281	16.8106825308052	18.0289512895158	16.8257700202074
0.247619.247913	15.5134597933801	14.9357968674868	13.7404042386668	15.1425301032434	16.4083469033359	15.170389419852
0.249690.250185	16.2021576951272	15.6517542069317	14.5493140062348	15.7987129269104	17.0640550614332	15.8738084273887
0.250984.252369	16.8405395389409	16.3091313574167	15.2440291560249	16.4601760041487	17.7000544078422	16.5194255911353
0.253160.256068	17.5837939550839	17.0575541792078	16.0456933108557	17.2340944261026	18.4781810185426	17.2647031158739
0.257121.257855	16.5211081424904	15.9902093773641	14.9406874413636	16.174995414927	17.3621285417717	16.1764971487099
0.258288.258559	15.5887569521638	15.0332567924804	13.9300979101801	15.2503476147178	16.4947971166598	15.1360425505051
0.259363.260907	17.1132025405422	16.5914339722371	15.5629792286671	16.7491669111416	17.9635273618995	16.7605173819468
0.261287.261878	16.2927040961184	15.7553441248945	14.6676989202878	15.9516758391961	17.1256829635283	15.9577884001225
0.350139.350394	14.7696433439845	14.1767870758373	12.4286892674606	14.3560517318302	15.7014223134054	14.394604613925
0.350711.352650	16.7888505025213	16.2528655097144	15.2004321162469	16.4116638169622	17.6370320265092	16.4392683197512
0.353781.355213	16.6510333522846	16.1104874943876	15.0508787945573	16.2848382787839	17.5054970558504	16.3087816638333
0.357641.361844	18.0098533686221	17.4808813295085	16.48575567219	17.6522653273358	18.9324034904456	17.6507870374049
0.362307.362748	16.4164828196276	15.8799370940573	14.775306337122	15.9966879779305	17.2550452794226	16.0895182676846
0.363051.363688	16.6728872554313	16.1556871312874	15.0940234299725	16.317718538391	17.5199401224476	16.339313868083
0.364457.365809	17.4606016330605	16.9305362915823	15.9055900527856	17.0318586642108	18.335549335312	17.1169886224506
0.366759.369530	18.0950374427566	17.5484511804555	16.5424522405107	17.6870700252631	19.0316866898637	17.7442843435548
0.618565.620849	17.3244301792888	16.8007391389554	15.8308079826881	16.9875035202135	18.1981528640742	16.956733627122
0.622043.626219	18.4682831846755	17.914204743121	16.8901734855723	18.0415244897068	19.4467052205941	18.0976185760102
0.626522.627103	16.7941507800925	16.2727013784367	15.2422273113713	16.4431781246959	17.628307572859	16.4084331181397
0.627324.633365	18.4729451265598	17.9163416615677	16.9363458666394	18.0960686944335	19.4411601256274	18.0806830714438
0.679097.679920	14.7484189770145	14.0847410401163	12.8284596105311	14.5397987366265	15.6218921545048	14.150454528203
0.697430.698410	16.7490834387899	16.2144402357442	15.0995378534296	16.3047324564172	17.6099811189716	16.4440370243506
0.721321.721716	11.3253980579997	8.87095094111471	3.72302703943376	10.1163957175811	13.4033972686171	9.92404992141621
0.724610.725352	14.9036094284954	14.3285877983824	12.7372290582814	14.555926367399	15.762136813175	14.4683735959258
0.867682.868703	15.3237751798772	14.7185619175854	13.5077802403701	14.9183165969826	16.2368379701179	15.0152989861373
0.868968.871537	16.3436687159669	15.7283280913748	14.7088865253557	15.8922284116723	17.1860392714259	15.9916663887236
0.872403.874337	16.1977707965949	15.578269332418	14.5575899703167	15.7355990925403	17.0311602739852	15.8611201406358
0.874792.877472	16.5773002789008	15.96802305092	14.99565124188	16.1085342232583	17.3855074714439	16.2479314199056
0.877777.879262	15.9845485914351	15.3755948395766	14.3487878800345	15.4939756824542	16.7915595980355	15.6225591095322
0.882536.882978	14.2459710729384	13.4392140100349	11.0722260152543	13.6578470701042	15.1135343753876	13.8215450870855
0.883688.884066	13.9276528646597	12.9792510072076	10.0759464499736	13.2748421736432	14.8746157721627	13.4864355953941
0.885629.885877	13.2839468328202	11.5716476758753	7.0511898390025	12.2160922633136	14.3740377136864	12.3869228338683
0.886744.887021	13.6661907404867	12.4376517459914	9.06579241645196	12.9536755661723	14.6478262256222	13.2388853889333
0.887488.887721	13.3505128810904	11.9830361624611	7.52192289315688	12.392895875211	14.5237484662382	12.8601836229797
0.888415.888774	14.0612472427147	13.0895422742583	10.256732961914	13.3313956578528	15.0458602932479	13.6563130590962
0.888992.889325	13.9477947861197	12.9956716458482	9.87000200466377	13.2131093965129	14.9039786925967	13.5655210289128
0.889661.889939	13.1352003410086	11.5088759988012	6.93058759047557	11.9342630069986	14.3352526403363	12.4961085579403
0.890582.890806	13.1868482161057	11.5609944408753	7.18444033452175	12.2352370205691	14.3531157868012	12.4434027149539
0.891698.891979	13.5612148291067	12.2566224017488	8.24158030164966	12.7207603434254	14.5868604974637	12.9145242767172
0.892498.893034	13.939374905086	12.9571153616443	9.7934951165659	13.1874069481373	14.9090177630916	13.4224006295519
0.893585.893866	13.1623346877725	11.2292978180064	6.53749936337386	11.9050306557673	14.2542058721284	12.2500880450733
0.895169.895438	13.4947422815914	12.1934447100911	8.20217259134266	12.5762419850448	14.5943030141903	13.0291126338432
0.895778.896191	13.322101686801	11.7950881744558	7.0112523767974	12.1712126559595	14.3507569692272	12.4938674763066
0.896698.897628	14.5400744558579	13.8120525523675	11.8256706562999	14.0350684575841	15.4423502151037	14.2243746851531
0.898396.898941	13.1002882598621	11.5737700012288	6.85518068936921	12.306431993049	14.3026847206355	12.4351638084516
0.902085.902700	14.0412913931306	13.0579199676038	10.122602408566	13.4183790007178	15.0155466184568	13.6345739245478
0.902930.903200	12.5542325988795	10.6151345067478	5.62772251792937	11.1331425207485	14.0383013955391	11.8536520078589
0.903710.904399	14.8263242614352	14.1258868166442	12.5279025539387	14.2965343490408	15.7156270963052	14.4825429086974
0.905089.905379	13.4854832865388	12.090169668656	7.74611534551586	12.3529154215305	14.606842224078	12.8240750911178
0.907577.907784	12.3555449356811	9.77533303791041	4.37326009042344	10.5318070328313	13.7854295690398	11.1015288910568
0.910117.911623	15.0910282337867	14.4111016774711	13.057281668295	14.5609730899168	15.937261964604	14.7120398158204
0.913126.913654	14.3577180028321	13.6195828090091	11.2772100097763	13.7012329617123	15.3231299372507	14.0069090652608
0.913939.914797	14.3080406126419	13.5028297072965	11.2005428276191	13.6157214657179	15.2921306062147	13.9054405989538
0.916293.916770	13.4315395569206	12.0796808704732	7.47083916096268	12.4910399209586	14.5388312101489	12.7797597421766
1.103940.104255	2.55231688097345	2.68771554541111	2.31427239806965	1.66395935897945	3.83177463046154	3.25805198604775
1.107085.107376	0.930791199636666	1.41896325880393	2.23283165589733	1.63660985115143	1.37202168513117	1.52226029132918
1.113597.113859	1.84823310198819	0.822375404945726	0.848925743543993	0.0989477525461373	5.14564206140385	5.15384013230975
1.127682.128507	3.21212422408886	3.84561763931788	4.15466142622288	3.87601976576793	2.68539238467651	1.57960796341759
1.148101.148403	1.33752314975514	1.03960255261316	1.01613949663744	0.212909009934179	1.88752091588481	1.34627169009872
1.157001.157678	4.50071772671217	4.82343014062914	2.72343263230035	4.17745500746867	1.7633682269484	1.93768085586798
1.164398.164713	-1.30918770224611	-0.346849154025391	0.712492858961731	-0.532840668737446	-1.43710950200313	0.125079243911591
