geneId	ABA_ATAC	genotype	ABA_RNA
Mp4g14800	0.109610290718087	Tak1	2.51324000067166
Mp4g14870	0.069175214050425	Tak1	1.75448522088307
Mp4g14860	0.021700982857271	Tak1	0.915069826180374
Mp8g15940	-0.0520145991543945	Tak1	0.833271344043228
Mp2g00890	-0.00690306358117895	Tak1	0.793531448796421
Mp5g12720	-0.069505325811679	Tak1	0.734792424370493
Mp4g21690	0.0239792777828441	Tak1	0.65495849165873
Mp2g18140	0	Tak1	0.541544048436071
Mp1g17210	-0.0125900403393128	Tak1	0.515021202919319
Mp2g22820	-0.0852797626827956	Tak1	0.481453247791273
Mp5g08310	0.0240486846193729	Tak1	0.440415866312433
Mp5g09040	0.0109883182337072	Tak1	0.392558957684067
Mp5g21950	0	Tak1	0.380653854101898
Mp1g23200	0.0773200942626872	Tak1	0.351054723781198
Mp2g10330	0.103907554774493	Tak1	0.288917729826616
Mp4g17810	0.00741263084909841	Tak1	0.279849562597219
Mp1g27640	0.101219558220306	Tak1	0.278145813558257
Mp3g23440	0.00533886597045484	Tak1	0.210080722500706
Mp4g09300	0.0799592124247077	Tak1	0.169926205087925
Mp7g06280	0	Tak1	0.15950791100376
Mp3g03400	-0.191578673666102	Tak1	0.149984829344702
Mp3g03420	0.185567109694708	Tak1	0.140127746190383
Mp3g18220	0.0348062519487209	Tak1	0.137376918183502
Mp7g06480	-0.0135481167832175	Tak1	0.125230003550024
Mp7g06550	0.0157939201631827	Tak1	0.082137797306334
Mp1g27920	0.052930587211908	Tak1	0.0272011974863347
Mp4g19590	0.0567042526518334	Tak1	0.00316844061083301
Mp6g12730	0.0267714306835693	Tak1	0.000202439218923736
Mp6g02620	0.0168542913387933	Tak1	-0.00187751295079851
Mp8g07630	-0.154123018632361	Tak1	-0.0149147288361604
Mp2g20430	-0.116386988636846	Tak1	-0.090554242961089
Mp3g09970	-0.181357052691502	Tak1	-0.108650505428013
Mp5g19490	0.0952115806268248	Tak1	-0.138198297838317
Mp5g22160	-0.0662913985571855	Tak1	-0.146174522897542
Mp4g00200	-0.0443754656318434	Tak1	-0.197863954290039
Mp3g20700	-0.0699359523852753	Tak1	-0.265056858935391
Mp6g17310	0.0144155013538112	Tak1	-0.2832615750179
Mp1g05180	-0.117270465386357	Tak1	-0.302562763767969
Mp5g21250	-0.0582300760549035	Tak1	-0.321462961060896
Mp7g17200	-0.0380631046368285	Tak1	-0.425817213859051
Mp4g00180	-0.055868726996154	Tak1	-0.456011003341337
Mp2g12370	0.0475037565717461	Tak1	-0.468138175925384
Mp3g11900	0.0643765141841519	Tak1	-0.475466557069801
Mp1g03580	-0.0518011021266039	Tak1	-0.498085783274794
Mp6g07560	-0.0112971376983687	Tak1	-0.516926883487197
Mp2g25940	0.0189179569208045	Tak1	-0.524054388569035
Mp4g18220	-0.00489914113288211	Tak1	-0.578899065960918
Mp4g21300	-0.108352278556469	Tak1	-0.610764559208517
Mp1g27950	-0.0359382732056318	Tak1	-0.716426966054692
Mp2g22250	-0.0361294761660157	Tak1	-0.752919524279836
Mp5g18910	-0.0525322802302597	Tak1	-0.991320616292267
Mp5g03090	0.00517245674462156	Tak1	-1.29192054684416
Mp4g14800	0.0549933315753712	hsfa	2.72918866632466
Mp4g14870	0.263716349258161	hsfa	1.86327433750172
Mp4g14860	0.0290358919592204	hsfa	1.0256026441732
