distanceToTSS (log10)	group
1.15234950831273	dko CK
1.1666964704796	dko CK
1.18003981092718	dko CK
1.18508864275792	dko CK
1.20868316103742	dko CK
1.24293877002958	dko CK
1.24716280903933	dko CK
1.54961623951909	dko CK
1.55614564388129	dko CK
-1.54779931061045	dko CK
-0.288249225571986	dko CK
-0.0461047872460387	dko CK
0	dko CK
0.802773725291976	dko CK
0.874423830586502	dko CK
0	dko CK
0	dko CK
0.525821952156663	dko CK
0	dko CK
0.143327129992046	dko CK
0	dko CK
-0.0867156639448825	dko CK
0.260786668654976	dko CK
0	dko CK
-0.440751700479185	dko CK
0	dko CK
0	dko CK
-0.350829273582968	dko CK
0	dko CK
0.862429556106009	dko CK
0.500099191915723	dko CK
0.472317546316842	dko CK
0.313234291694724	dko CK
0.238798562713917	dko CK
0.162564406523019	dko CK
0.0269416279590294	dko CK
0	dko CK
0.901730691729219	dko CK
0.912540882790637	dko CK
0.883150199683278	dko CK
0.86528168499561	dko CK
0.83695673705955	dko CK
0	dko CK
0	dko CK
-0.237794993273923	dko CK
0	dko CK
0.385963570600697	dko CK
0	dko CK
0.988068203392635	dko CK
1.00599512305469	dko CK
1.02023694391081	dko CK
1.04151111295932	dko CK
1.05659997629278	dko CK
-1.05099807917338	dko CK
-1.02056843480136	dko CK
-1.00112770027703	dko CK
-0.750431248660202	dko CK
-0.72956972630197	dko CK
-0.442479769064449	dko CK
0	dko CK
-0.297760511099134	dko CK
0	dko CK
0.209515014542631	dko CK
0.318897714627487	dko CK
-0.229425847920695	dko CK
-0.14921911265538	dko CK
0	dko CK
0.0780941504064107	dko CK
0.00945089579869393	dko CK
0.156549151331781	dko CK
0.34183005692051	dko CK
0	dko CK
0.449786846985773	dko CK
0	dko CK
0	dko CK
0	dko CK
0.00518051250378031	dko CK
-0.0261245167454503	dko CK
-0.0969100130080564	dko CK
-0.142076461073285	dko CK
-0.491921712586151	dko CK
0	dko CK
-0.258397804095509	dko CK
0	dko CK
-0.121559844187501	dko CK
0.197280558125619	dko CK
0.6036855496147	dko CK
0	dko CK
-0.101059354908116	dko CK
-0.241048150671644	dko CK
-0.0386201619497028	dko CK
0	dko CK
0.0195316845312554	dko CK
-0.0157787563890409	dko CK
-0.155943017971837	dko CK
0.721398375521505	dko CK
0.676510710282554	dko CK
0.361350024352266	dko CK
0	dko CK
0.677606952720493	dko CK
-0.19089171692217	dko CK
0	dko CK
-0.00259798071990859	dko CK
0.255754786643044	dko CK
0.817367016287594	dko CK
-0.775319121829478	dko CK
0	dko CK
0.735918116531297	dko CK
0.649918718735419	dko CK
0.617105230502378	dko CK
0.571592383361307	dko CK
0	dko CK
-0.472317546316842	dko CK
-0.221935599828005	dko CK
0	dko CK
0.575303333422399	dko CK
0	dko CK
0	dko CK
-0.625003601014864	dko CK
0.496098992132571	dko CK
0	dko CK
-0.0350292822023682	dko CK
-0.211921084308509	dko CK
0	dko CK
0	dko CK
0.813046965160108	dko CK
0.843793198325913	dko CK
0.865518519074774	dko CK
0	dko CK
-0.2143138974244	dko CK
0.760723972141952	dko CK
0	dko CK
-0.603469159733839	dko CK
-0.36285930295868	dko CK
-0.129367595722986	dko CK
0	dko CK
0.0449315461491601	dko CK
0.306639441024262	dko CK
0.605843539058089	dko CK
-0.559068334034537	dko CK
-0.53832233323144	dko CK
-0.394976719554564	dko CK
-0.311117842662506	dko CK
0	dko CK
0.128399268717806	dko CK
0	dko CK
0	dko CK
-0.834484285334805	dko CK
-0.000867721531226913	dko CK
0.0429690733931801	dko CK
-0.326540668516562	dko CK
-0.195899652409234	dko CK
-0.0265332645232967	dko CK
0.0136796972911926	dko CK
0.145817714491828	dko CK
0.0187004986662434	dko CK
0.311965660368366	dko CK
-0.208441356438567	dko CK
-0.395675785269936	dko CK
0	dko CK
0	dko CK
0.723619835515463	dko CK
0.838974954955468	dko CK
0.864095573424247	dko CK
-0.862548769524793	dko CK
-0.63558426631123	dko CK
-0.597036664977654	dko CK
-0.52750101098112	dko CK
-0.492620722043192	dko CK
0	dko CK
0.568905414982879	dko CK
0.699924402742477	dko CK
0.76544501809015	dko CK
0.60508946188158	dko CK
0	dko CK
0	dko CK
0	dko CK
0.890756251918218	dko CK
0.752125307297898	dko CK
0.619093330626743	dko CK
0.567849450573107	dko CK
0.364738555055399	dko CK
0.240049772112648	dko CK
0	dko CK
-0.196176185039973	dko CK
-0.278524964737018	dko CK
-0.380934463330702	dko CK
-0.0696680969115956	dko CK
-0.308350948586726	dko CK
-0.363235804483694	dko CK
0	dko CK
0.0827853703164501	dko CK
0.475235222604128	dko CK
0.565493629868862	dko CK
0.636989101812229	dko CK
0.689042339028172	dko CK
0.796157876906914	dko CK
0.8121108412031	dko CK
0.823669813268136	dko CK
-0.338257230246256	dko CK
-0.280805928393667	dko CK
-0.198657086954423	dko CK
0	dko CK
0	dko CK
-0.523876475638131	dko CK
-0.695569227036186	dko CK
0	dko CK
0	dko CK
-0.713154401837298	dko CK
